id|stepsadd
int|int
主键|步数
0|0
1|0
2|0
3|0
4|0
5|0
6|0
7|0
8|0
9|0
10|4
11|6
12|4
13|6
14|6
15|6
16|4
17|6
18|4
19|3
20|3
21|5
22|3
23|5
24|5
25|5
26|3
27|5
28|3
29|3
30|3
31|5
32|3
33|5
34|5
35|5
36|3
37|5
38|3
39|2
40|2
41|4
42|2
43|4
44|4
45|4
46|2
47|4
48|2
49|2
50|2
51|1
52|2
53|1
54|2
55|1
56|2
57|2
58|2
59|0
60|2
61|1
62|2
63|1
64|2
65|1
66|2
67|2
68|2
69|0
70|2
71|1
72|2
73|1
74|2
75|1
76|2
77|2
78|2
79|0
80|2
81|1
82|2
83|1
84|2
85|1
86|2
87|2
88|2
89|0
90|2
91|1
92|2
93|1
94|2
95|1
96|2
97|2
98|2
99|0
100|2
101|1
102|2
103|1
104|0
105|1
106|2
107|2
108|2
109|0
110|2
111|1
112|2
113|1
114|0
115|1
116|2
117|2
118|2
119|0
120|2
121|1
122|2
123|1
124|0
125|1
126|2
127|2
128|2
129|0
130|2
131|1
132|2
133|1
134|0
135|1
136|2
137|2
138|2
139|0
140|2
141|1
142|2
143|1
144|0
145|1
146|2
147|2
148|2
149|0
150|2
151|1
152|2
153|1
154|0
155|1
156|2
157|2
158|2
159|0
160|2
161|1
162|2
163|1
164|0
165|1
166|2
167|2
168|2
169|0
170|2
171|1
172|2
173|1
174|0
175|1
176|2
177|2
178|2
179|0
180|2
181|1
182|2
183|1
184|0
185|1
186|2
187|2
188|2
189|0
190|2
191|1
192|2
193|1
194|0
195|1
196|2
197|2
198|2
199|0

