id|reward1|reward1count|reward2|reward2count
string|int|int|int|int
段位|奖励1|奖励1数量|奖励2|奖励2数量
1_1|1|1000|4|10
1_2|1|500|4|5
1_3|1|300|4|5
1_4|1|200|2|3
1_5|1|100|2|1
1_6|1|50|2|0
2_1|1|1000|4|10
2_2|1|500|4|5
2_3|1|300|4|5
2_4|1|200|2|3
2_5|1|100|2|1
2_6|1|50|2|0
3_1|1|1000|4|10
3_2|1|500|4|5
3_3|1|300|4|5
3_4|1|200|2|3
3_5|1|100|2|1
3_6|1|50|2|0
4_1|1|1000|4|10
4_2|1|500|4|5
4_3|1|300|4|5
4_4|1|200|2|3
4_5|1|100|2|1
4_6|1|50|2|0
5_1|1|1000|4|10
5_2|1|500|4|5
5_3|1|300|4|5
5_4|1|200|2|3
5_5|1|100|2|1
5_6|1|50|2|0
6_1|1|1000|4|10
6_2|1|500|4|5
6_3|1|300|4|5
6_4|1|200|2|3
6_5|1|100|2|1
6_6|1|50|2|0

